date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:46	38742/38742	U-----	200	untouched ('')	image/jpeg	etag:%228d8b8541013d550e90a40dd109925fe3%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/60368b708e2a43ff43aa946b_image-1-instagram-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/60368b708e2a43ff43aa946b_image-1-instagram-esports-template.jpg	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	45379/45379	U-----	200	untouched ('')	image/jpeg	etag:%22de8b3fc4cc3bf24774873476924a45c8%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/60368b707818036059a6a461_image-2-instagram-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/60368b707818036059a6a461_image-2-instagram-esports-template.jpg	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	33977/33977	U-----	200	untouched ('')	image/jpeg	etag:%22a01ac80ceb15dba63068bd91c9ab926d%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/60368b70585da2e5a4df97a3_image-3-instagram-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/60368b70585da2e5a4df97a3_image-3-instagram-esports-template.jpg	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:46%20GMT	https://esportstemplate.webflow.io/article/the-best-keyboard-for-high-end-gaming	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/the-best-keyboard-for-high-end-gaming	(from https://esportstemplate.webflow.io/home)
19:12:46	40689/40689	U-----	200	untouched ('')	image/jpeg	etag:%22c02a6b4525b7e61cb3348ef1a4eaab89%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/60368b708a74a47d39b46056_image-4-instagram-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/60368b708a74a47d39b46056_image-4-instagram-esports-template.jpg	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	1270780/1270780	U-----	200	untouched ('')	text/javascript	etag:%226de4d558401301cbe3defd7f0f38e5db%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/js/webflow.c7cba8025.js	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/js/webflow.c7cba8025.js	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:46%20GMT	https://esportstemplate.webflow.io/article/3-amazing-pc-brands-for-your-next-gaming-pc	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/3-amazing-pc-brands-for-your-next-gaming-pc	(from https://esportstemplate.webflow.io/home)
19:12:46	89476/89476	U-----	200	untouched ('')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=60358955e12a8a2413b99edc	D:/Websites/fragsyncop/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c84b4e.js	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	138870/138870	U-----	200	untouched ('')	image/jpeg	etag:%22b7f026a43b71d862932da68a26baecb8%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6035aa3bd811e11ae79d2a4d_bg-home-hero-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6035aa3bd811e11ae79d2a4d_bg-home-hero-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:47	101943/101943	U-----	200	untouched ('')	image/jpeg	etag:%2213cd7b5e96e336224918ae11bee394fd%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6035aac81fc3b44b1a3b1e2d_image-home-about-video-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6035aac81fc3b44b1a3b1e2d_image-home-about-video-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:47	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:47%20GMT	https://esportstemplate.webflow.io/article/new-dragon-esports-pc-merch-announced	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/new-dragon-esports-pc-merch-announced	(from https://esportstemplate.webflow.io/home)
19:12:47	194298/194298	U-----	200	untouched ('')	image/jpeg	etag:%22330443899398a7854ec7ee86574fc0c1%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6035b2ae30dbf469741aa817_bg-match-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6035b2ae30dbf469741aa817_bg-match-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:47	169800/169800	U-----	200	untouched ('')	image/jpeg	etag:%22ad17e35822b07558bc4a1d7db1e1bed3%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/60368030de90ac58344ddd8e_bg-2-match-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/60368030de90ac58344ddd8e_bg-2-match-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:47	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:47%20GMT	https://esportstemplate.webflow.io/article/2021-xbox-gold-tournament-date-announced	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/2021-xbox-gold-tournament-date-announced	(from https://esportstemplate.webflow.io/home)
